Number,Name,X Position,Dropping_Time,Station_type,Device_delay
101,Loading,1000,0,0,0.0
102,Loading,2000,0,0,0.0
103,Loading,3000,0,0,0.0
104,Loading,4000,0,0,0.0
105,Degrease,5000,4,1,0.0
106,Degrease,6000,4,1,0.0
107,Rinse,7000,1,1,0.0
108,Rinse,8000,1,1,0.0
109,Rinse,9000,1,1,0.0
110,Picling,10000,4,1,0.0
111,Rinse,11000,1,1,0.0
112,Rinse,12000,1,1,0.0
113,Rinse,13000,1,1,0.0
114,Anodizing,14000,4,1,0.0
115,Anodizing,15000,4,1,0.0
116,Anodizing,16000,4,1,0.0
117,Anodizing,17000,4,1,0.0
118,Anodizing,18000,4,1,0.0
119,Anodizing,19000,4,1,0.0
120,Anodizing,20000,4,1,0.0
121,Anodizing,21000,4,1,0.0
122,Anodizing,22000,4,1,0.0
123,Anodizing,23000,4,1,0.0
124,Anodizing,24000,4,1,0.0
125,Rinse,25000,1,1,0.0
126,Rinse,26000,1,1,0.0
127,Rinse,27000,1,1,0.0
128,Passivation,28000,4,1,0.0
129,Passivation,29000,4,1,0.0
130,Passivation,30000,4,1,0.0
131,Rinse,31000,1,1,0.0
132,Rinse,32000,1,1,0.0
133,Rinse,33000,1,1,0.0
134,Drying,34000,0,1,5.0
135,Drying,35000,0,1,5.0
136,Drying,36000,0,1,5.0
137,Drying,37000,0,1,5.0
138,Drying,38000,0,1,5.0
139,Drying,39000,0,1,5.0
140,Drying,40000,0,1,5.0
141,Drying,41000,0,1,5.0
142,Unloading,42000,0,1,0.0
143,Unloading,43000,0,1,0.0
144,Unloading,44000,0,1,0.0
145,Unloading,45000,0,1,0.0
