Stage,MinStat,MaxStat,MinTime,MaxTime
1,105,106,00:07:00,00:10:00
2,107,107,00:01:00,00:03:00
3,108,108,00:01:00,00:03:00
4,109,109,00:01:00,00:03:00
5,110,110,00:03:00,00:03:30
6,111,111,00:01:00,00:03:00
7,112,112,00:01:00,00:03:00
8,113,113,00:01:00,00:03:00
9,114,124,00:48:00,00:49:00
10,125,125,00:01:00,00:03:00
11,126,126,00:01:00,00:03:00
12,127,127,00:01:00,00:03:00
13,128,130,00:09:00,00:09:30
14,131,131,00:01:00,00:03:00
15,132,132,00:01:00,00:03:00
16,133,133,00:01:00,00:03:00
17,134,141,00:35:00,00:40:00
18,142,145,00:00:00,00:00:00
