Stage,MinStat,MaxStat,MinTime,MaxTime
1,105,106,00:07:00,00:10:00
2,107,107,00:02:00,00:03:00
3,108,108,00:02:00,00:03:00
4,109,109,00:02:00,00:03:00
5,110,111,00:03:00,00:03:30
6,112,112,00:02:00,00:03:00
7,113,113,00:02:00,00:03:00
8,114,114,00:02:00,00:03:00
9,115,124,00:48:00,00:49:00
10,125,125,00:02:00,00:03:00
11,126,126,00:02:00,00:03:00
12,127,127,00:02:00,00:03:00
13,128,129,00:09:00,00:09:30
14,130,130,00:02:00,00:03:00
15,131,131,00:02:00,00:03:00
16,132,132,00:03:00,00:04:00
17,133,140,00:35:00,00:40:00
18,141,144,00:00:00,00:00:00
