Number,Tank,Group,Name,X Position,Dropping_Time,Station_type,Device_delay
101,101,101,Buffer,100,0,0,0.0
102,102,102,Buffer,1550,0,0,0.0
103,103,102,Buffer,3000,0,0,0.0
104,104,104,Dryer,4450,0,0,3.0
105,105,104,Dryer,5900,0,0,3.0
106,106,104,Dryer,7350,0,0,3.0
107,107,107,Hot Rinse,8800,10,1,0.0
108,108,108,Cold Rinse,10250,10,1,0.0
109,109,109,Passivation,11700,10,1,0.0
110,110,110,Cold Rinse #2,13150,10,1,0.0
111,111,111,Cold Rinse #1,14600,10,1,0.0
112,112,112,Zinc-Phosphate,16050,10,1,0.0
113,113,113,Activation,17500,10,1,0.0
114,114,114,Buffer,18950,0,0,0.0
115,115,115,Degreasing,20400,10,1,0.0
116,116,116,Degreasing,21850,10,1,0.0
117,117,117,Cold Rinse #1,23300,10,1,0.0
118,118,118,Cold Rinse #2,24750,10,1,0.0
119,119,119,Buffer,26200,0,0,0.0
120,120,119,Buffer,27650,0,0,0.0
121,121,121,Dissolution,29100,10,1,0.0
